county,state,state_encoded,total_non_english_speakers_18_64,foreign_born_population,spanish_speakers_total,spanish_eng_very_well,spanish_eng_well,spanish_eng_not_well,spanish_eng_not_at_all,indo_euro_speakers_total,indo_euro_eng_very_well,indo_euro_eng_well,indo_euro_eng_not_well,indo_euro_eng_not_at_all,asian_pac_speakers_total,asian_pac_eng_very_well,asian_pac_eng_well,asian_pac_eng_not_well,asian_pac_eng_not_at_all,other_lang_speakers_total,other_lang_eng_very_well,other_lang_eng_well,other_lang_eng_not_well,other_lang_eng_not_at_all,total_enrolled_in_school,enrolled_college_or_grad_school,median_household_income_usd
LaGrange County,Indiana,14,11874,825.0,995,621,94,265,15,8794,6765,1969,60,0,15,15,0,0,0,124,28,52,34,10,8094,415,81658
Lake County,Indiana,14,250038,35040.0,34753,23763,6149,3772,1069,7553,6009,995,508,41,2927,1473,851,432,171,1527,1258,243,26,0,117271,19906,66375
LaPorte County,Indiana,14,63695,3511.0,2364,1332,721,263,48,921,687,185,49,0,437,185,173,79,0,162,145,17,0,0,22145,3121,66854
Lawrence County,Indiana,14,25895,549.0,231,137,58,36,0,247,223,24,0,0,72,36,9,27,0,15,0,15,0,0,9114,1470,64210
Madison County,Indiana,14,74558,2157.0,2761,1710,750,282,19,413,381,13,19,0,481,286,121,64,10,185,177,0,8,0,27545,4331,60060
Marion County,Indiana,14,514723,99268.0,50449,24091,11204,11827,3327,15849,9295,3922,2152,480,15038,5401,4050,4525,1062,11855,7911,2856,710,378,239519,43008,59504
Marshall County,Indiana,14,22652,2343.0,2421,1614,377,345,85,1223,1079,135,9,0,163,161,2,0,0,0,0,0,0,0,11008,1792,66016
Martin County,Indiana,14,5598,28.0,66,56,10,0,0,42,41,0,1,0,1,0,1,0,0,0,0,0,0,0,2070,302,65489
Miami County,Indiana,14,20815,392.0,792,594,97,99,2,244,213,30,0,1,163,143,6,14,0,19,19,0,0,0,7829,1297,59551
Monroe County,Indiana,14,87156,11169.0,2584,1913,309,354,8,3497,2975,423,99,0,4654,2604,1807,243,0,773,624,79,70,0,53432,28656,60308
Montgomery County,Indiana,14,20976,1273.0,1121,550,243,322,6,198,186,0,12,0,71,55,16,0,0,0,0,0,0,0,8884,1666,62937
Morgan County,Indiana,14,42529,821.0,456,281,137,38,0,118,53,31,0,34,262,162,100,0,0,37,0,6,31,0,15628,1977,79134
Newton County,Indiana,14,7698,436.0,345,176,67,25,77,173,169,4,0,0,0,0,0,0,0,0,0,0,0,0,2515,177,63673
Noble County,Indiana,14,23618,2555.0,2724,1555,663,445,61,1288,1026,230,32,0,158,43,115,0,0,369,173,105,77,14,10194,1360,70286
Ohio County,Indiana,14,3386,37.0,0,0,0,0,0,10,10,0,0,0,21,0,21,0,0,8,8,0,0,0,1168,263,66333
Orange County,Indiana,14,11038,288.0,148,83,49,16,0,142,97,45,0,0,14,14,0,0,0,3,3,0,0,0,4117,625,60775
Owen County,Indiana,14,12391,120.0,122,97,25,0,0,86,69,17,0,0,36,31,5,0,0,0,0,0,0,0,4025,439,57947
Parke County,Indiana,14,8877,118.0,154,31,123,0,0,424,231,193,0,0,0,0,0,0,0,0,0,0,0,0,2909,253,63393
Perry County,Indiana,14,11353,226.0,109,83,22,4,0,37,37,0,0,0,65,29,20,16,0,0,0,0,0,0,3958,549,58936
Pike County,Indiana,14,6981,87.0,50,50,0,0,0,23,21,2,0,0,0,0,0,0,0,0,0,0,0,0,2416,264,64182
Porter County,Indiana,14,98675,6354.0,4530,3401,696,387,46,1534,1384,136,14,0,1008,729,206,51,22,272,262,4,6,0,40270,7856,82915
Posey County,Indiana,14,14470,329.0,140,62,78,0,0,24,22,2,0,0,86,11,75,0,0,0,0,0,0,0,5875,989,75594
Pulaski County,Indiana,14,6963,283.0,212,131,68,13,0,12,12,0,0,0,27,22,5,0,0,0,0,0,0,0,2759,496,56823
Putnam County,Indiana,14,22548,967.0,425,181,143,12,89,180,168,12,0,0,232,124,82,26,0,0,0,0,0,0,9501,3386,70609
Randolph County,Indiana,14,13432,422.0,342,105,145,92,0,84,79,5,0,0,81,36,24,21,0,0,0,0,0,0,5270,628,59674
Ripley County,Indiana,14,16449,376.0,216,188,5,23,0,80,32,36,12,0,99,35,64,0,0,0,0,0,0,0,6148,559,70285
Rush County,Indiana,14,9529,125.0,149,68,48,2,31,206,193,0,13,0,11,11,0,0,0,0,0,0,0,0,3512,465,62386
St. Joseph County,Indiana,14,145873,17902.0,11110,6809,2738,1281,282,2709,2108,518,83,0,3312,1645,1218,396,53,1894,1492,221,163,18,73204,18156,61877
Scott County,Indiana,14,14400,296.0,224,154,47,23,0,99,86,13,0,0,32,32,0,0,0,57,57,0,0,0,5108,734,49343
Shelby County,Indiana,14,25298,1521.0,1008,489,276,226,17,247,215,24,0,8,293,76,97,120,0,87,0,87,0,0,9531,1126,66449
